text,sentiment
The authors know very well the current state of the art and reuse existingtechnologies whenever possible ,positive
The paper contains some parts which I did not understand ,negative
Some of these issue sare rather important ,positive
This division is clear and even though they are not formally defined  they semantics is clear(state=data  behaviour=code) ,positive
How these two concepts relate to state and behaviour is not clear ,negative
Are tasks equivalent to the behaviour?,negative
Are streams part of thestate?,negative
If streams are not part of the state  then definition  should include them ,negative
Moreover  Figure  does not help to clarify this issue ,negative
On the contrary it makes things worse because it introduces four new concepts source  sink channel  effect (Notice that the caption of the Figure mentions state andbehaviour but these appear nowhere in the figure) ,negative
At the end of page   thetext mentions Listing  but this is not referenced any longer ,negative
Moreover  atsome point it seems that the text was improperly removed    WASP ,negative
Note that page  ends with a listing that is not discussed in the paper ,negative
These should have been defined before Fig ,negative
What does it mean?,negative
Is query part of a WASP?,negative
Or is somethingthat is received in the WASP's mailbox?,negative
In my opinion  Section  needs a concrete running example ,negative
This would certainly improve theunderstanding ,negative
I don't understand what is the mentioned one used fordescribing the first two types of messages ,negative
Algorithm  shows how WASP reactsto these messages but it is not clear who is supposed to execute it ,negative
Is it theWASP itself?,negative
My confusion comes by looking at the join types of messages ,negative
But  if this is indeed the case  then wouldn't the network be floodedwith join messages?,negative
In particular  why shouldn't the C-SPARQL WASP alsosend a join message to CQELS?,negative
Note that in Fig (a)  there is a label not associated with any arrow ,negative
Moreover  sometimes s is colored with orange  sometimes it is not ,negative
Finally  I appreciate that the authors have developed a concrete implementationof their proposal,positive
I don't understand what the experiments should demonstrate ,negative
Isn't it something that is close to being obvious?,negative
Section reports two propositions P looks trivial Clearly a network of WASP can solveany problem that a single WASP can solve (just set the network size equal toone) ,negative
How have the authors evaluated P?,negative
Which are the operations that a singleWASP wouldn't be able to solve?,negative
More explanation is needed here ,negative
To conclude I believe that the contribution of this paper is interesting and should be presented ,positive
However  the paper is sometimes not understandable and this severely diminishes its value ,negative
How these two concepts relate to state and behaviour ? ,negative
I don't get it ,negative
Does it mean that streams are states?,negative
Why do you use the expression relate to?,negative
and what does it mean in the form of Source Channel Sink?,negative
Another question Note that page  ends with a listing that is not discussed in the paper ,negative
Is it Listing 3?' response ,negative
Another question: I don't understand what is the mentioned one used for describing the first two types of messages. I could not find the answer in the authors' response ,negative
In particular why shouldn't the C-SPARQL WASP also send a join message to CQELS ? I could not find the answer in the authors' response ,negative
Also from the paper: P1 states a network of WASPs can solve tasks no individual web stream processing engine can solve This sentence led to my question: How have the authors evaluated P1? ,negative
None of the existing RSP solutions implements entirely the RSP-QL model ,negative
But this is not what the proposition states ,negative
Such impossibility needs to be proven ,negative
After reading the other reviews  I understand that the approach proposed by the authors is indeed interesting and some reviewers feel comfortable in having this paper accepted ,positive
My suggestion to the PC chairs is to explore the possibility that this paper gets shepherd to make sure that all unclarities are fixed ,negative
In the current state  I believe that this paper fits much more in the resource track given the clear pragmatic and implementation-oriented approach ,negative
The presentation in the paper can be improved ,negative
Examples (without description) are only given in the very end (Section  )  but the reader would benefit for a more intuitive description already earlier  ,negative
While it is briefly mentioned at the beginning of the introduction  connection to related tasks (completion  alignment  link prediction) can be discussed in more detail ,negative
It would be good to briefly explain DL related concepts at the very beginning to benefit readers whoare not familiar with DL specifics but are interested in classification models for concept learning ,negative
In Section   a link to source code  datasets and ontologies is given ,positive
However  the linked code repository only seems to contain a not well-organized Java project (with Eclipse settings  auto-generated comments  nearly empty readme)  we were not able to find any of the promised datasets  only some undocumented log files ,negative
This needs to be better organized for the publication ,negative
Therefore  a graph showing the performance for different values of Ts could give additional insights and illustrate what is discussed in the text ,negative
Minor comments- Section  Replace the dot with a comma in the definition of Ns ,negative
- Table  Indicate the best performing classifiers with a bold font ,negative
The paper addresses a fundamental and relevant machine learning problem of concept learning ,positive
The paper is well structured and written ,positive
The authors have made a good effort to present the background research and put their work in its context ,positive
The experimental setting is clear and reasonable ,positive
The experiments include several datasets of different characteristics ,positive
The results are discussed to a sufficient level of details ,positive
The results show that wDLF has more omissions and also lower match rate than others ,negative
Boosting helps in that  but still it would be good to have some more investigation on that ,negative
The authors' clarifications during the rebuttal phase are appreciated ,positive
They address my main concerns appropriately ,positive
The proposed boosting-based concept learning approach is evaluated against the state-of-the-art and shows slightly better performance than its competitors on most of the synthetic evaluation scenarios ,positive
Making this 'classic' meta-algorithm available for the field of concept learning and showing performance improvements over the state-of-the-art proves the relevance of the authors' work for the machine learning track ,positive
However  since they could build on existing formalisms from a quite related field I would consider this work as incremental ,negative
Overall the submission is well written,positive
 which is rather patchy since many passages were taken from [] and mixed with bridging paragraphs ,negative
The paragraphs taken from [] were only slightly re-phrased and adapted to the formalism at hand ,negative
However  certain terms were not introduced properly ,negative
In combination with particular statements (discussed below) that are still unclear to me (or are actual errors) Sec ,negative
 is hardly comprehensible without consulting [] and [] ,negative
 where the authors seemingly forgot to change whole sentences copied from the DL-FOIL paper altogether The experiments presented in this paper showed that DL-FOIL is able to better approximate a target concept  especially when it is particularly complex (i e ,negative
In terms of the correctness of the submissions there are certain issues that are at least not well justified and thus seem not very reasonable ,negative
  in the empirical risk formula the normalizer /n seems to be missing ,negative
 the identity function was never defined ,negative
Since it is used throughout all the following steps the remainder of the formal considerations is not comprehensible ,negative
I had to search the source code of the authors’ implementation to get an idea what the identity function could be ,negative
Since the reformulation steps developed in [] are presented nonetheless it is unclear to me how one would deduce them mathematically based on the proposed identity function ,negative
I) The definition of c_t seems wrong to me ,negative
Judging from Algorithm   \alpha_t should be positive ,negative
Assuming the identity function from I)  c_t would be negative if l_i matches h_t(e_i) and positive otherwise which contradicts with the idea c_t  IMHO ,negative
I) W_u is not introduced ,negative
I) I cannot follow the reformulation steps towards Z_t = W_c exp(-c_t) + W_u exp(+c_t) as presented in the submitted manuscript ,negative
However  I did understand how this definition was developed in [] ,positive
It seems the reformulation steps were confused due to I) and since the overall distinction between 'covered'  'not covered' and the 'abstain case' is lost ,negative
I) In Algorithm   h_t(x) is never used after its definition ,negative
Data sets and source code used in the evaluation are made available ,positive
However  I didn't find the evaluation scenario settings (positive  negative  and uncertain-membership examples  target concepts to learn) ,negative
For reproducibility concerns it would have been good to provide a Git tag or commit hash of the source code since its development seems to be ongoing ,negative
Moreover  the code did not compile without adjusting the Maven POM file ,negative
Since the DL-Learner provides a variety of algorithms the evaluation could have been extended by at least one more algorithm from the DL-Learner suite ,negative
the OCEL learning algorithm (which -- in contrast to CELOE -- is not specialised to learn short and human readable concept descriptions) could have provided a more interesting competition ,negative
Overall  I consider the problems mentioned as major and would opt to reject the submission ,negative
As a consequence I’m willing to relax my decision ,positive
However  I still consider the changes needed to get the submission in an acceptable shape as major and have concerns to accept it without a further review ,negative
The results show that the boosted version of wDLF outperforms the other approaches ,positive
The topic is very interesting and important for the Web of Data ,positive
The paper provides a lot of details and very good formal descriptions ,positive
However  it is quite hard to read and to grasp all these details  as there are no examples illustrating how the learning problem is defined or the boosted approach is developed ,negative
This makes it especially difficult to understand for the interested reader who is not a total expert in this topic ,negative
Regarding the training set T  where is the ground truth noted?,negative
But where is it noted which pair is the ground truth  as this is of course important for the learning process?,negative
Also  it is not entirely clear how the ground truth  i e   the correct classification of the individuals  can be assessed using a reasoner  in this case JFact reasoner ,negative
Was the correct concept of the individual not already comprised in the ontologies used for the evaluation?,negative
Regarding the results  the best performing figure should be made bold  to make it easier to spot ,negative
**** After RebuttalI would like to thank the authors for clarifiying various issues ,positive
However  frankly  I still don't see that in    it is described how each ontology was considered for producing  artificial problems/target concepts and related training & test sets  generated according to the randomized procedure    ,negative
Also no comment on how the correct classification of the individuals can be assessed using a reasoner was provided ,negative
I really liked this paper  it presents a simple yet interesting idea accompanied with a demo ,positive
First of all  the choice of tf idf vectors tf doesn't seem to be particularly relevant given the size of the snippets ,negative
One possible improvement would be to represent the citations with their word vectors ,negative
I found also very interesting the part of the interpretation of clusters  or in other words  the effort to make sense of the citations ,positive
The authors found automatically what Gabor et al  defined manually ,positive
In conclusion  I think that the paper is interesting and globally well written and presented and it would make a nice addition to the conference ,positive
Based on it  I have decided to raise my score ,positive
However  the research contribution is rather weak ,negative
While this is nice  they could have included the repository in their response so I could verify it ,negative
Finally  some comments regarding the overall usefulness of the approach would be nice ,negative
The paper reads well and it's easy to follow ,positive
I find the topic novel and quite useful  as context is crucial to understand how authors cite other related publications ,positive
In addition  ESWC is a Semantic Web conference  and the relationship of the paper with the Semantic Web is not clear ,negative
The authors create a linked graph  true  but I haven't found how to query the graph in a machine readable manner ,negative
The code used to encode the pipeline that creates the graph does not seem to be available online ,negative
Mentioning the software used is great,positive
without the right hyperparameters  the approach might be difficult to reproduce ,negative
A validation by random selection does not seem robust ,negative
However  the evaluation just shows correctness on the properties extracted ,negative
Not sure which correlations they are referring to ,negative
It is never introduced or cited ,negative
- I am confused by the b-> c definition ,negative
What does it mean to be contained in A?,negative
As mentioned in my previous review  I believe the paper shows an interesting approach and worth of being discussed in a venue such ESWC ,positive
The topic discussed is very relevant for the conference and is trendy ,positive
Here I express some of my concerns  I would like the authors to address in the next version of this manuscript ,negative
My major concern is on the readability of the paper ,negative
There are some passages in the narrative that leave room for doubts ,negative
For instance  the whole section  starts straightaway with Text Transformation without preparing the reader on what is the expected outcome ,negative
On this regard  a small section introduction would help ,negative
In addition  some other parts of the same section are rather confused ,negative
It is not clear to me  what are your features in this particular context ,negative
But then again  what is exactly this matrix?,negative
My mind is tempted to connect it with X[i j] in Section    but X reports the occurrences of words in documents  so I think they are different ,negative
According to the numbers it seems you aim at reducing the number of instances (snippets) rather than the number of features ,negative
How you defined accuracy?,negative
However  if you check  random instances  for each class  and you score them as either correct (TP) or incorrect (FP)  you can compute precision associated to each class ,negative
In my opinion  the paper shows an interesting approach and worth of being discussed in a venue such ESWC ,positive
However  I encourage the authors in making further effort in improving their narrative ,negative
I am sure there is a lot of work behind it but I also found it very hard to follow and quite unclear ,negative
That is why I personally believe that it cannot be accepted in the current form ,negative
I would suggest authors to work on some areas  first of all  the paper does not explain well the rationale for the proposed approach  the overall intuition and the key choices ,negative
Related to this point  the authors should evaluate (or at least discuss) their approach in comparison to the existing ones Overall  I would also suggest authors to make the paper checked by a native English reader so as to improve its readability and clarity ,negative
-Similarly  section   should explain how the three time intervals for profiling/training/testing were selected ,negative
Typos   - p   informatino -> information   - p   upto -> up toThis paper deals with the task of creating a graph representation from citations in papers  and abstracting that representation to those between authors of those papers in order to understand what the paper calls as influence of the cited author over the citing author ,negative
However  I see that to be able to claim that you can measure the influence between authors based on citations might become questionable if there are many negative citations in between ,negative
Or would your definition of influence simply cover all different citation types  no matter if they are negative or positive?,negative
This paper is not that good fit with the topics of ESWC its link to semantic web research is rather weak ,negative
There is no semweb-representation of the data at any phase of the method  nor it makes use of any semweb-resources/traditional tech and does not extend existing ones ,negative
Minor details- check spelling  ,negative
Remarks- I am not sure whether the “semantic aspect” is strong enough in the paper and I wonder to some extent whether it is a % fit for the venue ,negative
- The text is deliberately (often unnecessarily) overloaded and convoluted ,negative
- The paper lacks a dedicated state of the art section ,negative
References are scattered throughout the paper and this makes hard to reconstruct prior work and contributions in the field taken into consideration by the authors ,negative
Besides  it makes hard to understand the contributions and assess the novelty of their contributions ,negative
This is critical  in my opinion  and the authors should address this point ,negative
- PageRank has been already applied in this research context ,negative
However  some references are missing ,negative
A mention would be appreciated ,negative
- Dataset it is not clear the dataset being used ,negative
This can be confusing as several pieces of information are not available on DBLP (e g ,negative
This should be clarified (also for the sake of open science and reproducibility) ,negative
These datasets could be pivotal to the study ,negative
This is not mentioned ,negative
Any evidence this is the best method available?,negative
If left unclear  this opens to possible reproducibility issues ,negative
- Future works section lacks references to central paper on citation function/semantics ,negative
The provided reference is valid but rather obsolete ,negative
Minor- Abstract aim at -> aim to- Typo “informatino” pag ,negative
Potentially confusing ,negative
It is timely and adds to an active area of research  and has potential to help bring about a greater degree of cohesion between different parts of the Web  across linguistic barriers ,positive
The authors have clearly articulated their research agenda  situated it in the context of prior work  and explained their motivations for this approach  highlighting the limitations of previous approaches and methods ,positive
They have drawn evidence from well-known resources such as the Linked Open Vocabularies  although no doubt the problem space (a plethora of ontologies on the Web in various natural languages) is even more complex than implied by the list of four languages (where English dominates) ,positive
By simply listing these few examples  the authors risk selling the significance and necessity of their research short ,negative
The evaluation stage illustrates that the process has been largely successful  resulting in new properties and classes being added to the target ontology ,positive
An opportunity seems to have been missed here to create a bilingual ontology  which  as a result output has potential to be much more significant that an ontology which has been enriched through the addition of properties and classes post-translation ,negative
These errors should not be too time-consuming to fix  but ought to be addresses for improved clarity and quality of the paper ,negative
After reading the paper  I am not convinced on how robust the authors' approach is in supporting their claim ,negative
There are fundamental assumptions in this work  such as existing labels in natural languages ,negative
The evaluation is also quite limited and I could not judge the effectiveness of the task without knowing the size and complexity of the ontologies ,negative
I am a skeptic on how the authors' approach significantly outperforms approaches that go beyond string-matching (e g   works based on WordNet synsets) ,negative
I was also disappointed to read that the authors left out the pre-matching phase explanation from their case study (it is one-third of their entire methodology  after all!) ,negative
How did you determine that these are not  in fact  false positives?,negative
In terms of readability of the paper  I found it to be quite low ,negative
The paper has a lot of repetitions that could be removed to make room for providing additional content that would help readers understand the work better    by providing more examples  especially in non-trivial cases ,negative
- Section  While LogMap and XMap do not    does not read well ,negative
Maybe remove While?,negative
Also  your double-quote marks are also not matching (they are all closing ones?) ,negative
In summary  I think the work described in this paper is still in a preliminary stage and needs to be significantly improved to show a robust and useful methodology that will be of interest to a large audience ,negative
They present the tool and demonstrate its effectiveness by means of two distinct experiments  in which it seems clear that it outperforms other available tools working on similar task ,positive
However  there are a number of grey stuff in the paper  that should be clearly clarified in the rebuttal ,negative
The issues are listed as follows ,negative
- What do you mean with ontologies in other natural languages?,negative
Maybe it is better to clarify here what is expected by the algorithm – when it is presented (Sec  ) is a bit late to me ,negative
In addition  since hasSynonym is not a typical OWL construct  it would be good to have a list of all the properties one can specify ,negative
- The sub-graph extraction should be accompanied by an example  because it is not clear when it is working (i e ,negative
- employing a variety of natural language processing (NLP) techniques it would be important to know which techniques are you using (not only a few examples  but all of them) in order to understand which approaches are adopted and the way they are combined together ,negative
I would expect that the tool outperform also other tools developed for addressing this task  but there is no evidence about it in the paper ,negative
- syntactic validation what do you mean with it  and how syntactic mistakes can exist in this context – please provide an example ,negative
- While the source code of the CLOESC seems to be available on GitHub  there is no documentation in order to understand how to use it  so as to replicate the experiments ,negative
Honestly  after reading authors' rebuttal  I still think that this paper needs additional work and appropriate extension to be acceptable for presentation to ESWC ,negative
In addition  there are aspects of the rebuttal that sounds quite inconsistent  ,negative
There are still areas of developments that should be actually addressed in this paper  instead of postponing them in future works  ,negative
OWL APIs  RDF libraries) that allows one to create ontologies free from syntactic issues  thus I do not really see how this passage is so crucial ,negative
- the new documentation provided is still far from being appropriate and still rather limited ,negative
Concluding  I still think that the work is still to preliminary and not mature for deserving publication ,negative
This is an important problem which has not seen much attention within the Semantic Web or RSP communities ,positive
While the problem under consideration in the paper is increasingly-relevant  ,positive
there are a number of problems with the work and its presentation ,negative
In terms of presentation  the paper needs signficant work ,negative
There are many grammatical errors including omission of 'the' or mixing up singular and plural for nouns ,negative
Thankfully this did not impact the understandability of the writing  but this needs to be fixed ,negative
Please also refrain from informal English  i e ,negative
It is also unclear to me whether figures and tables may be surrounded by text ,negative
Some confusing notation was the usage of 'x' and 'Yes' in Table  ,negative
I assume 'x' is not a checkmark but rather means 'No' here ,negative
Please make this consistent ,negative
Please use the correct symbols ,negative
A more serious issue is the citation of other works- The authors argue that CEP has been increasingly adopted for real-time analysis in a number of domains  without citing any works pertaining to those domains ,negative
- The authors refer to an EMC report without providing a citation ,negative
- The authors list a number of CEP engines  but only cite a paper covering recent advancements rather than actually citing or providing references to the engines ,negative
- The authors fail to cite or provide references to the datasets and libraries used for their experimental setup ,negative
- The authors at times cite unrelated works  for example when citing a paper on RTEC as part of Section   seemingly without actually using it ,negative
- In the related work section  the authors sometimes refer to other works without making it clear why they are related or relevant in the context of their contributions ,negative
This can be clarified ,negative
The authors also have a tendency to mischaracterise the limitations of Deep Neural Networks (DNN)  which starts in the related work section ,negative
The comparison between DNNs and CEP in this work is a false one  of course DNNs need training  but CEP does not provide an alternative---rather it can complement DNNs ,negative
Yet the authors insist on comparing DNNs and CEP as though they are competing ,negative
Absent from the related work is a discussion of other approaches to CEP with video data ,negative
If not  this should be made explicit somewhere ,negative
A stream is defined as a set of multimedia event knowledge graphs  so I assume they use the same domains?,negative
A formal description is needed here ,negative
I had trouble understanding precisely how the two relate  even with the help of the architecture overview ,negative
It might help to discuss Section  first  as it may clarify why there is a need for windows  but a more thorough explanation beyond an introduction of the composing components is needed ,negative
Yet there is little formalisation here ,negative
This leaves me guessing as to what Equations  and  actually mean ,negative
Combining spatial and temporal formalisms is a difficult problem for which there exists a large body of pre-existing work  none of which is discussed ,negative
The empirical evaluation is somewhat limited ,negative
The authors argue that the datasets limit the quantitative analysis  but do not explain why they did not choose a different dataset if this was a problem ,negative
However  we believe that the paper misses the technical quality for ESWC and should rather be submitted to a workshop ,negative
The following major issues need to be adressed (order by significance)- The authors do not define the syntax and semantics of any introduced formalism  left alone describing their computational properties (e g   consistency checking in full Allen's Time interval algebra is already NP-complete) ,negative
The paper has several strong points ,positive
 there are no important mistakes  but stops somewhat short of being a significant enough as a contribution to the research track ,negative
In my opinion  there are several methodological shortcomings that need to be overcome before accepting this paper ,negative
Starting from section   there is no indication of how the dimensions that should be described were selected ,negative
It is also unclear why reasoning is introduced here  if the use case is about aggregation  why is it needed?,negative
I don't understand what is meant with fulfill the requirements of the dimensions,negative
Furthermore  and probably the core of my criticisms  it is not clear what was the method used ,negative
It looks like a task-based ontology evaluation  but without the proper framework  on cannot be sure ,negative
Here I think there is a writing issue  as it is  the expected answer is a survey of vocabularies  but you present an evaluation of existing ontologies  that as remarked above  does not make clear how the choice of the three that were evaluated was done ,negative
Again  there is no comparison against the others ,negative
One would have expected to see something along the lines of how fast/battery consuming/etc these aggregations are ,negative
Globally  the paper is at too early stage to be published and I failed to see both its research purpose and the novelty of the approach ,negative
Main remarks- The aggregation scenario in section  remains vague and limited apparently  it is limited to aggregating data coming from nearby sensors on an edge device  and processing these data on this device ,negative
Device discovery and configuration seem to be out of scope  and no other communication scheme is envisioned ,negative
No indication is given also on the data rate and processing chain  that could have been used for evaluation ,negative
More comprehensive work on IoT data aggregation has been published  years ago about physical mashups  the authors could start from there to improve their use case ,negative
In addition  the evaluation is limited to technical performance indicators ,negative
The main claim  having a general usable and dynamically adjustable approach  is not verified ,negative
* Regarding structure and style** The paper could benefit from proof-reading (general style  consistent introduction of terminology  specific use of terminology)** The structure makes it hard to determine what the contributions of the paper are and what of the author's system is out of scope ,negative
Thank you for this very interesting paper about a semantic approach to Edge Computing ,positive
I think the use case - using semantic profiles on gateway nodes to abstract from IoT heterogeneity to promote interoperability - is an important one  and an excellent example of the benefits of semantic technologies in general ,positive
I think this is a good topic,positive
I did often struggle to follow what was being described  and needed to spend quite a bit of time jumping back and forth between parts of the paper in order to follow ,negative
 I find too many aspects of the work and the evaluation choices too unclear to recommend  acceptance  and it could be considerably better situated within the (crowded) field of semantic IoT ,negative
The regarded topic is relevant and worth being further investigated ,positive
Nevertheless  I would like to see more in depth explanation on the approach  a fine-grained partitioning of the selected criteria and a discussion why this framework is beneficial compared to other works with a similar scope ,negative
I do not understand why distributed ledger and distributed data storage  Self-Sovereign Identity and decentralized identifiers and Verifiable Claims are relevant to the framework?,negative
I do not understand why only Solid and Triple Patterns fragments approaches are cited as decentralized Linked Data approaches?,negative
This needs to be better clarified ,negative
The architecture is detailed ,positive
It is strange to evaluate these different approaches and systems ,negative
I find the paper hard to read and definitions are confusing ,negative
The contribution of the paper is minor ,negative
The contribution is not enough mature to be accepted as a research paper ,negative
The paper does not have the structure of a research paper ,negative
This makes the topic of this paper a very timely and important one ,positive
Finally  it seems to me that the paper does not comply with the guidelines (the margin are too small) ,negative
I think it makes an excellent contribution to the area and I'm happy to recommend it for acceptance ,positive
I can see relevance to our own work on the use of blockchains to support RDF querying and certification ,positive
The paper is very well written and well understandable ,positive
I find the work interesting,positive
As such  the work does not prove that it actually solve the problems that centralized querying solutions have (see next paragraph) ,negative
Mainly for this reason  I think this paper is too preliminary to be presented at a conference ,negative
The topic is both interesting and relevant for the ESWC Distribution and Decentralisation Track ,positive
The work is well motivated  the paper itself is easy to follow  and the authors performed an extensive evaluation of the proposed architecture ,positive
The formalisation could be improved ,negative
This topic is interesting and highly relevant in the context of decentralizing applications on the Web ,positive
The general approach and the collaboration-based optimization techniques are described in a way that is easy to understand  and so is the evaluation of the proposed techniques ,positive
Unfortunately  besides its pros  the paper also has a number of weaknesses ,negative
For instance  it is unclear to me how a browser can find other browsers to connect to and how it is guaranteed that a browser has eventually seen all the other browsers in the network ,negative
Although the technical/research contribution is very limited  the experiments provide some insights about the effectiveness of neural and hybrid models ,positive
Authors also released the source code  and this is another positive fact ,positive
The paper is well organized and clearly present the conducted research ,positive
The proposed combination of knowledge based and statistical learning is perspective and gives good results compared to baseline ,positive
The experiments are well planned and give some insights in the performance of the proposed approach on the two datasets ,positive
The proposed method yields a slightly improved performance compared to the baseline methods ,positive
The paper addresses a relevant problem  is clearly structured and mostly well written ,positive
Links to previous work are mostly explained well ,positive
A few things were unclear to meIn section   the authors state In this work  we will ignore implicitly mentioned aspects (   ) ,negative
I would suggest choosing a less confusing example for the paper ,negative
The evaluation is sound and I find the visualizations the authors provide interesting and helpful ,positive
Thus  the novelty of the proposed approach is not very high ,negative
Yet  the evaluation comparing different methods and combinations of methods is interesting and the proposed approach does yield some improvement over the baselines  albeit small ,positive
Also  the authors published their code open-source which is a useful contribution for the community ,positive
In conclusion  I think this work could be a valuable contribution to ESWC ,positive
However  the scientific contribution is rather low for a full research paper ,negative
What it does  it does well  however ,positive
So  in conclusion  I do see some value for the community and I will not argue against accepting this paper ,positive
At the same time  I still find the contribution somewhat limited  so I don't argue for accepting it  either ,negative
Minor comments- The paper contains a few typos  ,negative
I however see the way the paper is written unsatisfactory ,negative
The central concepts of the approach are not formally defined  or the definition is not consistently applied ,negative
There is a huge number of minor writing infelicities in the text ,negative
Many passages are hard to read  clearly miss some detail  and would really benefit from simple  practical examples ,negative
However  with weakness A mentioned above I wonder whether the paper should be accepted as it is  because I would prefer to see the very same paper done with a proper evaluation ,negative
The paper is generally well written  and it is easy to follow ,positive
I also think that the problem is interesting and is a natural extension of many of the efforts for knowledge base population/enrichment ,positive
The feature engineering is well justified and suitable for the task at hand ,positive
However  there are several things  which probably could have been done with a better intuition ,negative
In the experimental evaluation there are some things  which are not clear to me ,negative
This is not clear in the text  and it seems a very important detail  as the quality of the extracted axioms is highly dependent on this ,negative
The problem is interesting and important  and the evaluation is thoroughly conducted with proper error analysis ,positive
It is unclear to me what exactly is being compared there ,negative
The paper targets a very interesting problem with a very interesting solution ,positive
The paper is very well written  thorough experimentations were conducted ,positive
The authors have also compared their approach to the existing approach where their approach outperforms existing ones ,positive
I would actually like to see a running example  for example  Example  and  do not seem to be a concrete example  they are rather the statistics from Wikipedia ,negative
Also the issue of clearer description of comparison should be given ,negative
 several problems  are present ,negative
The general writing of the paper needs improvement ,negative
Several aspects are unclear  most importantly() No formal problem definition is provided  hence the problem addressed is unclear ,negative
() The description of the proposed approach is incomplete  i e ,negative
it is not explained how new concepts and relationships are actually discovered ,negative
The classification problem is not defined and the feature extraction from text is entirely missing (the authors only state that “the texts were transformed into vectors with numerical characteristics”) ,negative
() No comparison with a baseline is conducted  even though the authors state in the related work section that the problem has been addressed by a large number of researchers ,negative
Moreover  other problems are present in the whole text  to give a few examples Missing explanation of uncommon terms  ,negative
The authors state that models for “classification  regression and grouping” were used  where in fact only a classification problem was present ,negative
A clear statement to identify the ground truth is missing ,negative
Moreover the metrics precision and coverage seem to be reversed to me  i e ,negative
Finally  typos are present within the paper (e g ,negative
Therefore  the paper should be rejected ,negative
The authors don't propose a new approach for knowledge discovery  but only compare baseline methods  thus it is unclear  what exactly the contribution is ,negative
Further  while the approach described in the paper seems closely related to knowledge-base construction/completion  the paper is not mentioning this large research area at all ,negative
To understand the proposed approach better  adding a concrete example of how the data is processed and classified and how the glossaries and knowledge bases fit in  would help a lot ,negative
On the other side  Section  describes well known methods  which could be easily removed ,negative
Further  the description of the approach is hard to follow It is not very clear what data is used where and how the ontology is generated that they collect using the SKOS standard ,negative
Presenting the processing and application of the models in a more structured or formalised way could make things more clear ,negative
Incorporating or at least discussing more recent related work is necessary ,negative
Overall  the paper generally describes different problem areas  so it is not clear what the task is  what the exact model is and what the contribution is exactly ,negative
Some more points- Some of the citations can be improved ,negative
Nice practical work applying different classical ML methods for text mining (concept and link discovery/classification) from domain ontologies in SKOS in Portoguese in the oil domain ,positive
However  the paper suffers from the following deficiencies?,negative
The paper is easy to read and addresses an interesting problem ,positive
The proposed method is also interesting,positive
The proposed method achieves high precision and outperforms other state-of-the-art systems ,positive
The presentation of this work is mostly clear and the paper is in general very well written ,positive
All features are well defined  the given examples and illustrations helpful ,positive
The presentation of related work is clear and thorough ,positive
However  the related work section and the introduction are partly repetitive  maybe the authors could revise the last part of the introduction to avoid this ,negative
The approach is evaluated on several relevant datasets and compared to another state-of-the-art context-based method ,positive
The authors publish their code and data open-source which adds to reproducibility of the evaluation and is a valuable contribution to the community ,positive
Yet I have a few comments / questions regarding the evaluation- I assume the authors refer to Mean Average Precision in table  and the related descriptions?,negative
The paper is well structured and easy to follow ,positive
A fair overview on related work and different knowledge graph completion methods is provided ,positive
Since a lot of related approaches are already mentioned in the introduction  the related work section has some redundancies  which could be solved by moving the specific parts from the introduction to the related work and merge it ,negative
While in Sections  and   a running example is used to explain the definitions  it would have been desirable to have examples or figures in particular for Sections   and   ,negative
There are some concerns about the evaluation of the approach ,negative
However  I cannot find a proof on that in the paper ,negative
It would have been interesting to run an experiment where the runtimes of some large-scale KGs would have been presented ,negative
It would have been also interesting to see results of the approach being executed with different hyperparameters ,negative
---The authors clarified a lot of missing details in their response ,positive
I still think the presented approach is promising and interesting ,positive
However  the evaluation is IMHO too immature and needs improvements ,negative
The topic of the paper is indeed a very interesting and challenging one ,positive
The authors present their work in a very clear and structured manner which makes the paper generally easy to read ,positive
Also  the definitions of the features and their explanations along a running example are very good ,positive
However  the description of CAFE’s workflow lacks some important details and examples  and the evaluation is rather arbitrary ,negative
 miss some sort of theory behind or explanation why choosing these features ,negative
 the features (or feature groups) are explained quite well,positive
The paper is well written and easy to read ,positive
The proposed approach is described with sufficient details ,positive
The proposed approach is evaluated on FBk- and JFk datasets  which are commonly used ones for link prediction problem ,positive
Several approaches are compared in the experiments  including latent-based ones and symbolic ones ,positive
My major concern of this paper is that the computation of CNNs is the key component of the new approach  but CNNs were introduced in two previous papers  which makes the contribution of this paper less significant ,negative
I think the one I mentioned and the conclusions drawn from it are really problematic ,negative
If this can be fixed I think the paper is a good and interesting paper due to the points mentioned in the Strengths section ,positive
SummaryThe paper addresses the important task of link prediction on knowledge graphs(KG) ,positive
The overall idea presented in the paper is nice  and a distinct departure from the recently popular approaches to solving link prediction using neural embedding based latent feature models trained using stochastic gradient descent ,positive
Although this is a rule-based symbolic method  it doesn’t need to go through the expensive process of learning rule sets for individual relations ,positive
Outputs of their method are straightforward to interpret ,positive
The proposed algorithm is any-time  letting the user trade-off performance for running time according to business needs ,positive
One of the biggest issues with the paper is that they do not compare against the current state of the art in KG link prediction  ConvE   “Convolutional D Knowledge Graph Embeddings” (ConvE  https//arxiv org/pdf/  pdf from AAAI ) ,negative
Further  background on Denoeux’s work (cited as []) and Dempster-Shafer theory is quite lacking ,negative
Near the end of page   one of the most important equations for computing beliefs for entities is presented quite abruptly  and it assumes the audience to be familiar with Dempster-Shafer theory ,negative
